Year,Reference,Currency,Price,Quantity
2019,MXxEANC000,EUR,52.0,260
2021,MXxEANC000,EUR,70.8,367
2019,MXxEANC000,TRY,8.6,1108
2021,MXxEANC000,TRY,11.9,1519
2019,MXxEANC000,USD,45.4,15
2020,MXxEANC000,USD,50.3,17
2020,PCTxTUMC001,EUR,68.8,218
2021,PCTxTUMC001,EUR,94.7,236
2022,PCTxTUMC001,EUR,104.8,282
2019,PCTxTUMC001,TRY,9.9,1166
2021,PCTxTUMC001,TRY,12.2,1593
2022,PCTxTUMC001,TRY,14.8,1902
2019,PCTxTUMC001,USD,52.3,9
2020,PCTxTUMC001,USD,58.4,11
2021,PCTxTUMC001,USD,94.4,9
2022,PCTxTUMC001,USD,94.4,12
2019,PCTxFFVA002,EUR,30.0,298
2021,PCTxFFVA002,EUR,37.0,444
2022,PCTxFFVA002,EUR,37.0,544
2019,PCTxFFVA002,TRY,4.9,1392
2020,PCTxFFVA002,TRY,5.7,1684
2021,PCTxFFVA002,TRY,7.7,1920
2022,PCTxFFVA002,TRY,7.7,2217
2019,PCTxFFVA002,USD,26.2,30
2020,PCTxFFVA002,USD,30.6,36
2021,PCTxFFVA002,USD,39.9,34
2022,PCTxFFVA002,USD,44.9,40
2020,PCTe0DU1003,EUR,11.3,353
2021,PCTe0DU1003,EUR,15.0,463
2019,PCTe0DU1003,TRY,1.5,1432
2020,PCTe0DU1003,TRY,1.8,1756
2021,PCTe0DU1003,TRY,2.0,2080
2022,PCTe0DU1003,TRY,2.3,2264
2019,PCTe0DU1003,USD,7.9,28
2020,PCTe0DU1003,USD,8.3,40
2022,PCTe0DU1003,USD,11.5,56
2019,MXeTCCU004,EUR,67.0,276
2020,MXeTCCU004,EUR,72.3,289
2021,MXeTCCU004,EUR,95.2,378
2019,MXeTCCU004,TRY,11.0,1128
2021,MXeTCCU004,TRY,16.4,1661
2022,MXeTCCU004,TRY,17.3,1888
2019,MXeTCCU004,USD,58.5,44
2020,MXeTCCU004,USD,58.5,64
2021,MXeTCCU004,USD,73.3,70
2019,UAiCOGC005,EUR,114.0,145
2020,UAiCOGC005,EUR,126.6,195
2022,UAiCOGC005,EUR,194.2,246
2020,UAiCOGC005,TRY,18.8,1269
2021,UAiCOGC005,TRY,25.5,1438
2022,UAiCOGC005,TRY,26.8,1778
2020,UAaCTVC006,EUR,70.6,282
2021,UAaCTVC006,EUR,88.1,362
2022,UAaCTVC006,EUR,88.1,394
2019,UAaCTVC006,TRY,10.7,1161
2020,UAaCTVC006,TRY,10.7,1350
2022,UAaCTVC006,TRY,14.8,1885
2019,UAaCTVC006,USD,56.7,14
2020,UAaCTVC006,USD,70.1,33
2021,UAaCTVC006,USD,92.3,30
2022,UAaCTVC006,USD,92.3,46
2019,MXeSOCG007,EUR,18.0,219
2020,MXeSOCG007,EUR,18.0,227
2021,MXeSOCG007,EUR,21.7,320
2019,MXeSOCG007,TRY,3.0,1129
2022,MXeSOCG007,TRY,4.0,1742
2019,MXeSOCG007,USD,15.7,43
2020,MXeSOCG007,USD,17.4,37
2021,MXeSOCG007,USD,24.5,42
2022,MXeSOCG007,USD,24.5,51
2020,UAeCLFU008,EUR,35.0,251
2021,UAeCLFU008,EUR,42.9,310
2022,UAeCLFU008,EUR,42.9,361
2019,UAeCLFU008,TRY,5.8,1183
2020,UAeCLFU008,TRY,6.1,1420
2021,UAeCLFU008,TRY,8.3,1685
2022,UAeCLFU008,TRY,8.8,1980
2019,UAeCLFU008,USD,30.5,10
2021,UAeCLFU008,USD,44.2,11
2022,UAeCLFU008,USD,52.0,13
2019,UAeMORU009,EUR,119.0,280
2020,UAeMORU009,EUR,149.7,374
2021,UAeMORU009,EUR,209.6,406
2022,UAeMORU009,EUR,264.9,443
2019,UAeMORU009,TRY,19.6,1094
2020,UAeMORU009,TRY,19.6,1322
2021,UAeMORU009,TRY,24.9,1518
2022,UAeMORU009,TRY,25.0,1694
2019,UAeMORU009,USD,103.8,31
2021,UAeMORU009,USD,143.8,47
2022,UAeMORU009,USD,143.8,82
2019,PCTiPOCC020,EUR,110.0,277
2020,PCTiPOCC020,EUR,110.0,343
2019,PCTiPOCC020,TRY,18.1,1231
2020,PCTiPOCC020,TRY,18.1,1468
2021,PCTiPOCC020,TRY,24.7,1647
2022,PCTiPOCC020,TRY,24.7,1945
2019,PCTiPOCC020,USD,96.0,25
2020,PCTiPOCC020,USD,96.0,27
2020,UAiE1MC021,EUR,13.1,283
2021,UAiE1MC021,EUR,16.3,342
2022,UAiE1MC021,EUR,16.3,397
2021,UAiE1MC021,TRY,2.6,1764
2019,UAiE1MC021,USD,10.5,22
2020,UAiE1MC021,USD,10.5,13
2021,UAiE1MC021,USD,14.1,27
2022,UAiE1MC021,USD,14.9,15
2019,UAxO0IE022,EUR,140.0,274
2020,UAxO0IE022,EUR,162.6,355
2021,UAxO0IE022,EUR,225.8,359
2020,UAxO0IE022,TRY,23.3,1665
2021,UAxO0IE022,TRY,31.5,1958
2022,UAxO0IE022,TRY,31.5,2327
2019,UAxO0IE022,USD,122.1,39
2021,UAxO0IE022,USD,171.7,55
2022,UAxO0IE022,USD,171.7,53
2021,UAeOCTC023,EUR,84.1,324
2022,UAeOCTC023,EUR,101.5,348
2019,UAeOCTC023,TRY,10.9,1142
2020,UAeOCTC023,TRY,10.9,1497
2021,UAeOCTC023,TRY,13.6,1630
2022,UAeOCTC023,TRY,16.3,1917
2019,UAeOCTC023,USD,57.6,7
2020,UAeOCTC023,USD,57.6,7
2021,UAeOCTC023,USD,75.9,6
2022,UAeOCTC023,USD,75.9,8
2019,PCTeCCP1024,EUR,148.0,148
2020,PCTeCCP1024,EUR,167.5,181
2021,PCTeCCP1024,EUR,223.5,194
2022,PCTeCCP1024,EUR,260.2,236
2019,PCTeCCP1024,TRY,24.4,1190
2020,PCTeCCP1024,TRY,24.9,1379
2021,PCTeCCP1024,TRY,29.5,1530
2022,PCTeCCP1024,TRY,29.5,1823
2019,PCTeCCP1024,USD,129.1,28
2021,PCTeCCP1024,USD,182.3,40
2022,PCTeCCP1024,USD,204.8,59
2019,MXx0SCE099,EUR,106.0,249
2020,MXx0SCE099,EUR,113.3,318
2021,MXx0SCE099,EUR,160.6,376
2022,MXx0SCE099,EUR,182.0,429
2019,MXx0SCE099,TRY,17.5,1464
2020,MXx0SCE099,TRY,18.2,1754
2021,MXx0SCE099,TRY,25.0,1970
2022,MXx0SCE099,TRY,25.0,2226
2021,MXx0SCE099,USD,137.8,8
2019,UBeRGDD100,EUR,208.0,137
2020,UBeRGDD100,EUR,223.3,240
2021,UBeRGDD100,EUR,308.2,259
2022,UBeRGDD100,EUR,308.2,254
2019,UBeRGDD100,TRY,34.3,1134
2021,UBeRGDD100,TRY,48.6,1601
2019,UBeRGDD100,USD,181.5,34
2020,UBeRGDD100,USD,181.5,34
2021,UBeRGDD100,USD,242.8,37
2022,UBeRGDD100,USD,242.8,52
2019,PCTeCMUC101,EUR,134.0,310
2020,PCTeCMUC101,EUR,152.9,379
2021,PCTeCMUC101,EUR,232.6,462
2022,PCTeCMUC101,EUR,232.6,543
2019,PCTeCMUC101,TRY,22.1,1455
2020,PCTeCMUC101,TRY,22.1,1680
2021,PCTeCMUC101,TRY,30.6,1941
2022,PCTeCMUC101,TRY,33.9,2187
2019,PCTeCMUC101,USD,116.9,26
2020,PCTeCMUC101,USD,119.5,39
2021,PCTeCMUC101,USD,147.6,28
2022,PCTeCMUC101,USD,176.1,42
2019,MXiSTCF102,EUR,123.0,310
2021,MXiSTCF102,EUR,193.3,420
2022,MXiSTCF102,EUR,193.3,492
2019,MXiSTCF102,TRY,20.3,1169
2020,MXiSTCF102,TRY,22.7,1397
2021,MXiSTCF102,TRY,29.3,1632
2022,MXiSTCF102,TRY,29.3,1853
2019,MXiSTCF102,USD,107.3,36
2022,MXiSTCF102,USD,146.7,66
2019,UBxCP1V103,EUR,74.0,217
2020,UBxCP1V103,EUR,74.0,241
2021,UBxCP1V103,EUR,103.0,287
2022,UBxCP1V103,EUR,110.7,333
2019,UBxCP1V103,TRY,12.2,1264
2020,UBxCP1V103,TRY,12.6,1518
2021,UBxCP1V103,TRY,16.4,1768
2022,UBxCP1V103,TRY,18.0,1991
2021,UBxCP1V103,USD,84.0,63
2022,UBxCP1V103,USD,84.0,64
2019,UBiCESO104,EUR,35.0,148
2020,UBiCESO104,EUR,35.0,189
2021,UBiCESO104,EUR,46.5,246
2022,UBiCESO104,EUR,46.5,230
2020,UBiCESO104,TRY,6.0,1323
2021,UBiCESO104,TRY,7.2,1606
2022,UBiCESO104,TRY,8.4,1822
2019,UBiCESO104,USD,30.5,12
2019,MXeCC0N105,EUR,57.0,202
2020,MXeCC0N105,EUR,69.6,259
2021,MXeCC0N105,EUR,94.5,295
2022,MXeCC0N105,EUR,94.5,347
2019,MXeCC0N105,TRY,9.4,1048
2020,MXeCC0N105,TRY,9.4,1238
2019,MXeCC0N105,USD,49.7,32
2020,MXeCC0N105,USD,53.6,35
2021,MXeCC0N105,USD,72.7,31
2022,MXeCC0N105,USD,75.2,42
2019,UAeCPCU106,EUR,126.0,180
2020,UAeCPCU106,EUR,126.0,227
2022,UAeCPCU106,EUR,189.9,294
2019,UAeCPCU106,TRY,20.8,947
2020,UAeCPCU106,TRY,20.8,1192
2021,UAeCPCU106,TRY,26.2,1282
2022,UAeCPCU106,TRY,26.2,1577
2019,UAeCPCU106,USD,109.9,19
2020,UAeCPCU106,USD,109.9,30
2022,UAeCPCU106,USD,146.3,28
2019,UBiVPAC107,EUR,121.0,241
2020,UBiVPAC107,EUR,121.0,301
2021,UBiVPAC107,EUR,136.8,318
2022,UBiVPAC107,EUR,136.8,366
2020,UBiVPAC107,TRY,20.0,1562
2022,UBiVPAC107,TRY,25.0,2116
2019,UBiVPAC107,USD,105.6,13
2020,UBiVPAC107,USD,110.6,24
2022,UBiVPAC107,USD,147.7,28
2019,MXxT1EA108,EUR,243.0,207
2020,MXxT1EA108,EUR,261.7,251
2021,MXxT1EA108,EUR,352.9,304
2020,MXxT1EA108,TRY,46.9,1124
2021,MXxT1EA108,TRY,65.5,1343
2022,MXxT1EA108,TRY,69.4,1527
2019,MXxT1EA108,USD,212.0,15
2020,MXxT1EA108,USD,244.7,12
2022,MXxT1EA108,USD,312.8,19
2019,UBaINSC109,EUR,152.0,196
2020,UBaINSC109,EUR,163.4,217
2022,UBaINSC109,EUR,193.9,301
2020,UBaINSC109,TRY,25.5,1153
2021,UBaINSC109,TRY,30.1,1377
2022,UBaINSC109,TRY,30.1,1540
2019,UBaINSC109,USD,132.6,19
2020,UBaINSC109,USD,144.5,22
2021,UBaINSC109,USD,217.3,19
2022,UBaINSC109,USD,225.8,29
2019,MXxBCCU110,EUR,33.0,201
2020,MXxBCCU110,EUR,33.0,241
2021,MXxBCCU110,EUR,42.0,270
2022,MXxBCCU110,EUR,42.0,286
2019,MXxBCCU110,TRY,5.4,1168
2020,MXxBCCU110,TRY,5.8,1357
2021,MXxBCCU110,TRY,7.8,1594
2019,MXxBCCU110,USD,28.8,16
2020,MXxBCCU110,USD,28.8,16
2021,MXxBCCU110,USD,38.3,30
2022,MXxBCCU110,USD,38.3,45
2019,MXeSSLB111,EUR,103.0,184
2020,MXeSSLB111,EUR,119.3,159
2021,MXeSSLB111,EUR,146.7,193
2022,MXeSSLB111,EUR,146.7,251
2019,MXeSSLB111,TRY,17.0,904
2021,MXeSSLB111,TRY,26.6,1188
2022,MXeSSLB111,TRY,28.0,1348
2019,MXeSSLB111,USD,89.9,22
2020,MXeSSLB111,USD,89.9,32
2021,MXeSSLB111,USD,131.4,31
2022,MXeSSLB111,USD,131.4,50
2019,PCTeCBSL112,EUR,186.0,322
2020,PCTeCBSL112,EUR,208.2,355
2021,PCTeCBSL112,EUR,223.6,449
2019,PCTeCBSL112,TRY,30.7,1489
2020,PCTeCBSL112,TRY,37.0,1763
2021,PCTeCBSL112,TRY,37.0,2136
2022,PCTeCBSL112,TRY,37.0,2385
2021,PCTeCBSL112,USD,223.9,15
2022,PCTeCBSL112,USD,229.8,35
2020,UAeB1CS113,EUR,119.5,371
2021,UAeB1CS113,EUR,168.1,392
2019,UAeB1CS113,TRY,16.0,1245
2021,UAeB1CS113,TRY,23.2,1812
2022,UAeB1CS113,TRY,23.8,2050
2019,UAeB1CS113,USD,84.6,15
2021,UAeB1CS113,USD,106.8,24
2022,UAeB1CS113,USD,106.8,21
2019,MXxD1ER114,EUR,48.0,204
2020,MXxD1ER114,EUR,55.7,230
2022,MXxD1ER114,EUR,74.8,303
2021,MXxD1ER114,TRY,11.1,1823
2022,MXxD1ER114,TRY,11.1,2165
2020,MXxD1ER114,USD,41.9,18
2021,MXxD1ER114,USD,52.7,43
2022,MXxD1ER114,USD,58.0,27
2019,MXeTGCN115,EUR,130.0,230
2020,MXeTGCN115,EUR,144.0,244
2021,MXeTGCN115,EUR,185.5,292
2022,MXeTGCN115,EUR,185.5,340
2019,MXeTGCN115,TRY,21.4,1134
2020,MXeTGCN115,TRY,21.6,1327
2021,MXeTGCN115,TRY,29.9,1571
2022,MXeTGCN115,TRY,29.9,1795
2019,MXeTGCN115,USD,113.4,24
2019,UAiTPRA116,EUR,34.0,265
2020,UAiTPRA116,EUR,38.1,309
2021,UAiTPRA116,EUR,44.5,401
2022,UAiTPRA116,EUR,47.1,462
2020,UAiTPRA116,TRY,5.6,1548
2021,UAiTPRA116,TRY,8.6,1729
2022,UAiTPRA116,TRY,9.0,1972
2019,UAiTPRA116,USD,29.7,31
2020,UAiTPRA116,USD,31.1,50
2021,UAiTPRA116,USD,43.0,47
2022,UAiTPRA116,USD,46.6,45
2019,PCTaICDC117,EUR,100.0,227
2021,PCTaICDC117,EUR,129.2,301
2022,PCTaICDC117,EUR,129.2,353
2019,PCTaICDC117,TRY,16.5,950
2020,PCTaICDC117,TRY,17.4,1096
2021,PCTaICDC117,TRY,22.1,1319
2022,PCTaICDC117,TRY,22.1,1485
2019,PCTaICDC117,USD,87.2,17
2020,PCTaICDC117,USD,87.2,36
2021,PCTaICDC117,USD,101.5,24
2022,PCTaICDC117,USD,101.5,29
2019,MXeCOCR118,EUR,97.0,208
2020,MXeCOCR118,EUR,110.6,251
2021,MXeCOCR118,EUR,146.3,335
2022,MXeCOCR118,EUR,146.3,334
2019,MXeCOCR118,TRY,16.0,1308
2020,MXeCOCR118,TRY,16.0,1598
2021,MXeCOCR118,TRY,21.4,1864
2019,MXeCOCR118,USD,84.6,27
2021,MXeCOCR118,USD,111.5,44
2022,MXeCOCR118,USD,111.5,43
2020,PCTxBCAF119,EUR,102.2,231
2022,PCTxBCAF119,EUR,146.6,309
2019,PCTxBCAF119,TRY,16.7,1175
2020,PCTxBCAF119,TRY,16.7,1332
2022,PCTxBCAF119,TRY,23.2,1863
2021,PCTxBCAF119,USD,116.8,18
2022,PCTxBCAF119,USD,131.4,15
2019,PCTeBPEC120,EUR,192.0,206
2020,PCTeBPEC120,EUR,214.0,238
2021,PCTeBPEC120,EUR,268.4,286
2022,PCTeBPEC120,EUR,305.6,291
2019,PCTeBPEC120,TRY,31.7,1396
2020,PCTeBPEC120,TRY,36.6,1617
2021,PCTeBPEC120,TRY,48.7,1837
2022,PCTeBPEC120,TRY,48.7,2207
2019,PCTeBPEC120,USD,167.5,24
2020,PCTeBPEC120,USD,198.9,26
2019,MXaUBFA121,EUR,119.0,225
2020,MXaUBFA121,EUR,126.7,260
2022,MXaUBFA121,EUR,166.2,340
2020,MXaUBFA121,TRY,19.6,1633
2021,MXaUBFA121,TRY,26.1,1890
2020,MXaUBFA121,USD,109.6,28
2019,PCTi1LCN122,EUR,118.0,275
2020,PCTi1LCN122,EUR,135.0,341
2021,PCTi1LCN122,EUR,182.7,380
2022,PCTi1LCN122,EUR,183.0,470
2019,PCTi1LCN122,TRY,19.5,1542
2020,PCTi1LCN122,TRY,21.2,1934
2021,PCTi1LCN122,TRY,27.2,2178
2022,PCTi1LCN122,TRY,27.2,2507
2019,PCTi1LCN122,USD,102.9,42
2020,PCTi1LCN122,USD,107.1,57
2021,PCTi1LCN122,USD,133.7,68
2020,MXiTCCV123,EUR,132.9,196
2021,MXiTCCV123,EUR,152.5,274
2022,MXiTCCV123,EUR,178.6,273
2019,MXiTCCV123,TRY,21.1,1074
2020,MXiTCCV123,TRY,23.0,1332
2021,MXiTCCV123,TRY,29.2,1534
2019,MXiTCCV123,USD,111.7,35
2020,MXiTCCV123,USD,123.8,44
2021,MXiTCCV123,USD,180.5,60
2019,MXaNSCN124,EUR,94.0,247
2020,MXaNSCN124,EUR,102.7,306
2021,MXaNSCN124,EUR,136.4,384
2022,MXaNSCN124,EUR,143.8,409
2019,MXaNSCN124,TRY,15.5,1249
2022,MXaNSCN124,TRY,24.2,2049
2019,MXaNSCN124,USD,82.0,19
2022,MXaNSCN124,USD,117.3,34
2020,UBeFLIA125,EUR,13.0,188
2022,UBeFLIA125,EUR,18.6,250
2019,UBeFLIA125,TRY,2.1,1096
2020,UBeFLIA125,TRY,2.4,1282
2021,UBeFLIA125,TRY,3.0,1484
2022,UBeFLIA125,TRY,3.7,1704
2019,UBeFLIA125,USD,11.3,25
2020,UBeFLIA125,USD,11.5,26
2021,UBeFLIA125,USD,15.3,39
2021,UBxTCMC126,EUR,48.9,316
2022,UBxTCMC126,EUR,53.3,385
2020,UBxTCMC126,TRY,5.9,1445
2022,UBxTCMC126,TRY,8.0,1971
2019,UBxTCMC126,USD,29.7,14
2020,UBxTCMC126,USD,29.7,23
2021,UBxTCMC126,USD,36.8,32
2022,UBxTCMC126,USD,40.6,25
2020,MXeEOVF127,EUR,3.0,289
2021,MXeEOVF127,EUR,3.6,291
2022,MXeEOVF127,EUR,3.6,359
2019,MXeEOVF127,TRY,0.5,1330
2020,MXeEOVF127,TRY,0.6,1590
2021,MXeEOVF127,TRY,0.8,1843
2022,MXeEOVF127,TRY,0.8,2075
2020,MXeEOVF127,USD,2.6,28
2021,MXeEOVF127,USD,3.1,41
2022,MXeEOVF127,USD,3.5,28
2019,PCTeP0CC128,EUR,26.0,254
2021,PCTeP0CC128,EUR,34.2,364
2022,PCTeP0CC128,EUR,38.8,439
2019,PCTeP0CC128,TRY,4.3,1289
2020,PCTeP0CC128,TRY,5.3,1551
2021,PCTeP0CC128,TRY,6.8,1781
2022,PCTeP0CC128,TRY,7.4,2026
2019,PCTeP0CC128,USD,22.7,23
2021,PCTeP0CC128,USD,30.1,25
2019,UBeENIC129,EUR,34.0,189
2020,UBeENIC129,EUR,34.7,221
2019,UBeENIC129,TRY,5.6,1121
2020,UBeENIC129,TRY,6.9,1283
2021,UBeENIC129,TRY,8.0,1570
2019,UBeENIC129,USD,29.7,33
2020,UBeENIC129,USD,30.1,33
2021,UBeENIC129,USD,38.7,28
2019,UBxIMPC130,EUR,49.0,315
2020,UBxIMPC130,EUR,52.5,408
2021,UBxIMPC130,EUR,65.4,410
2022,UBxIMPC130,EUR,65.4,470
2019,UBxIMPC130,TRY,8.1,1590
2020,UBxIMPC130,TRY,8.9,1908
2021,UBxIMPC130,TRY,12.1,2203
2022,UBxIMPC130,TRY,12.1,2625
2019,UBxIMPC130,USD,42.7,20
2020,UBxIMPC130,USD,45.4,51
2021,UBxIMPC130,USD,64.1,36
2022,UBxIMPC130,USD,64.1,42
2020,UBaRBEC131,EUR,13.8,358
2021,UBaRBEC131,EUR,19.2,475
2019,UBaRBEC131,TRY,1.6,1235
2020,UBaRBEC131,TRY,1.7,1548
2021,UBaRBEC131,TRY,2.2,1733
2022,UBaRBEC131,TRY,2.6,1946
2019,UBaRBEC131,USD,8.7,43
2020,UBaRBEC131,USD,9.3,48
2021,UBaRBEC131,USD,13.4,52
2019,PCTxCCUL132,EUR,266.0,200
2020,PCTxCCUL132,EUR,281.9,255
2021,PCTxCCUL132,EUR,413.4,323
2022,PCTxCCUL132,EUR,487.6,342
2019,PCTxCCUL132,TRY,43.9,956
2021,PCTxCCUL132,TRY,59.4,1318
2022,PCTxCCUL132,TRY,59.4,1467
2019,PCTxCCUL132,USD,232.1,30
2019,UBeUNAM133,EUR,93.0,204
2020,UBeUNAM133,EUR,95.8,244
2021,UBeUNAM133,EUR,108.9,315
2022,UBeUNAM133,EUR,116.2,322
2019,UBeUNAM133,TRY,15.3,993
2020,UBeUNAM133,TRY,16.0,1239
2021,UBeUNAM133,TRY,19.9,1426
